AGU1091,W-BUTTON,1.7000000000000002,10,2O,,0.0000,1.36
AGU1109,RELAY-ANTI-S,17.8800,1,4H,,0.0000,14.9298
AGU1116,BULB,0.8,5,4K,,0.0000,0.648
AGU1284J,O-RING,3.85,5,2O,,0.0000,3.08
AGU1285,WASHER,0.2400,1,4H,,0.0000,0.2004
AGU1329J,NUT,0.8999999999999999,5,4H,,0.0000,0.7515
AGU1381,RING-SPRING,0.8,5,4K,,0.0000,0.648
AGU1386,O-RING,3.55,5,4M,,0.0000,2.769
AGU1387,O-RING,8.9,5,YP,,0.0000,6.4079999999999995
AGU1393,PIN-SPRING,4.9,5,2O,,0.0000,3.9200000000000004
AGU1411,NUT-PLASTIC,1.7000000000000002,10,4H,,0.0000,1.4195000000000002
AGU1413J,SCREW-SELFT,2.9,5,2H,,0.0000,2.4215
AGU1467,FASTENER,1.7999999999999998,5,4H,,0.0000,1.503
AGU1501,NUT-LOKUT,0.95,5,4H,,0.0000,0.79325
AGU1506,CLIP,0.8,5,4H,,0.0000,0.668
AGU1528,RIVET-PLASTI,4.699999999999999,10,2J,,0.0000,3.8069999999999995
AGU1529,CATCH-MAGNET,2.7600,1,2M,,0.0000,2.1528
AGU1533,WASHER,1.7000000000000002,5,4H,,0.0000,1.4195000000000002
AGU1534,NUT,2.3499999999999996,5,2J,,0.0000,1.9034999999999997
AGU1548,CRADLE-MOUNT,0.7000,1,2J,,0.0000,0.567
AGU1863,BUSH-MOUNTIN,0.3600,1,4H,,0.0000,0.3006
AGU1877AW,STUD,5.6499999999999995,5,2J,,0.0000,4.576499999999999
AGU1877HEZ,STUD-TURNBUC,1.4000000000000001,5,4K,,0.0000,1.1340000000000001
AGU1877JF,STUD,5.3500000000000005,5,2J,,0.0000,4.333500000000001
AGU1877LY,STUD,5.3500000000000005,5,2J,,0.0000,4.333500000000001
AGU1877LZ,STUD,2.3499999999999996,5,2J,,0.0000,1.9034999999999997
AGU1877ZM,STUD,5.3500000000000005,5,2J,,0.0000,4.333500000000001
AGU19391,SETSCREW,0.5,5,4H,,0.0000,0.4175
AGU19441,SETSCREW,1.7999999999999998,5,4H,,0.0000,1.503
AGU2001,NUT-PUSH,0.3,5,4H,,0.0000,0.2505
AGU2096,RETAINER-NUT,0.2100,1,4H,,0.0000,0.17535
AGU2202,SETSCREW,2.0,10,4H,,0.0000,1.67
AGU2207,SCREW,0.8,5,4H,,0.0000,0.668
AGU2221J,PLUG-BLANKIN,14.2,5,YJ,,0.0000,11.501999999999999
AGU2227,FIX-PUSHON,1.0,10,4H,,0.0000,0.835
AGU2229AE,STUD,1.1,5,2J,,0.0000,0.891
AGU2229AGD,STUD,0.5100,1,4H,,0.0000,0.42585
AGU2229AW,STUD,1.9,5,2O,,0.0000,1.52
AGU2229CFK,STUD,0.1700,1,4H,,0.0000,0.14195000000000002
AGU2229HEZ,STUD,0.8999999999999999,5,4H,,0.0000,0.7515
AGU2229HFZ,STUD,0.6800,1,2J,,0.0000,0.5508000000000001
AGU2229JGT,STUD,0.3600,1,4H,,0.0000,0.3006
AGU2229LEG,STUD,0.5800,1,2H,,0.0000,0.48429999999999995
AGU2229LFM,STUD,0.6800,1,2J,,0.0000,0.5508000000000001
AGU2229LFN,STUD,0.6800,1,2J,,0.0000,0.5508000000000001
AGU2229LY,STUD,1.6500000000000001,5,2O,,0.0000,1.32
AGU2229LZ,STUD,0.95,5,4K,,0.0000,0.7695
AGU2229NDR,STUD,0.5100,1,4H,,0.0000,0.42585
AGU2229SDC,STUD,0.4800,1,2J,,0.0000,0.3888
AGU2229XE,STUD,1.6500000000000001,5,2O,,0.0000,1.32
AGU2229ZM,STUD,1.6500000000000001,5,2O,,0.0000,1.32
AGU2292,FIX-PUSHON,1.1,5,2J,,0.0000,0.891
AGU2371,SETSCREW,1.9,10,4H,,0.0000,1.5865
AGU2378,FASTENER,6.1,10,2H,,0.0000,5.0935
AGU2380J,RETAINER-NUT,2.55,5,4H,,0.0000,2.12925
AGU2388J,BUSH-FRICTIO,6.1,10,2J,,0.0000,4.941
AGU2434,FASTENER-FIR,0.2900,1,4H,,0.0000,0.24214999999999998
AGU2436J,NUT-PLASTIC,0.4700,1,2J,,0.0000,0.3807
AGU2445J,SCREW,1.0,5,2H,,0.0000,0.835
AGU2527J,OLIVE,4.35,5,4H,,0.0000,3.6322499999999995
AGU2530,FASTENER-PUS,1.1300,1,2J,,0.0000,0.9152999999999999
AGU2533J,FASTENER-FIR,1.3700,1,4H,,0.0000,1.14395
AGU2540J,NUT,3.5999999999999996,10,4H,,0.0000,3.006
AGU2550J,STUD,0.8999999999999999,5,4K,,0.0000,0.7289999999999999
AGU2551,SETSCREW,22.56,6,4H,,0.0000,18.8376
AGU2553J,SCREW-SELFT,1.5,10,4H,,0.0000,1.2525
AGU2555J,SCREW-SELFT,2.3499999999999996,5,2J,,0.0000,1.9034999999999997
AGU2562J,RIVET,0.8,5,4H,,0.0000,0.668
AGU2572J,SCREW-SELFT,0.75,5,4H,,0.0000,0.62625
AGU2580,NUT-HEXAGONA,2.3499999999999996,5,2J,,0.0000,1.9034999999999997
AGU2598J,SCREW-TORX,0.8,10,4H,,0.0000,0.668
AGU2610,T-PIECE,1.5700,1,RM,,0.0000,1.2246000000000001
